,Mean,STD,Median,Percentile: 5,Percentile: 10,Percentile: 15,Percentile: 20,Percentile: 25,Percentile: 30,Percentile: 35,Percentile: 40,Percentile: 45,Percentile: 50,Percentile: 55,Percentile: 60,Percentile: 65,Percentile: 70,Percentile: 75,Percentile: 80,Percentile: 85,Percentile: 90,Percentile: 95
ecfp,0.11228564064,0.048354298459999986,0.10797310305999996,0.04587345739999999,0.058702860100000025,0.06780561521999999,0.07515569032,0.08153682824000001,0.08727996773999999,0.09267393168000002,0.09785591960000005,0.10291809648,0.10797310305999996,0.11309153819999997,0.11838168185999999,0.12394696836000002,0.13002493379999994,0.1367105982,0.14453431020000007,0.1539805623999999,0.16674750099999985,0.18959106939999998
avalon,0.34311792800000007,0.17301984979999996,0.3259645471999999,0.08430450723999999,0.11996951976,0.15129950199999997,0.18223180960000007,0.21070418120000003,0.23604850960000004,0.2588558628000001,0.28075516540000006,0.3029487396,0.3259645471999999,0.3502372475999999,0.3763646865999999,0.4043600688,0.4342986898,0.4667122449999999,0.5026965351999999,0.5435056404,0.5899900977999999,0.6484285593999999
tt,0.07418062189999998,0.07475868131999999,0.054512305,0.0,0.0,0.012503657170000008,0.017356838959999996,0.023014467020000005,0.028670185640000016,0.03455556169999998,0.040793893480000024,0.04742162038000003,0.054512305,0.062232399559999985,0.07073227470000001,0.08009636912000001,0.09072731529999994,0.10317726451999999,0.11829626210000002,0.137781239,0.1653764943999999,0.2123783628
maccs,0.4135323994,0.14955380500000004,0.4095750546,0.1684808068,0.22199449040000008,0.258826196,0.28794705080000005,0.3126715536000001,0.33383171499999975,0.35410231020000005,0.37300545139999997,0.3912972002000001,0.4095750546,0.42806122520000023,0.44711010759999986,0.46711591239999994,0.4887423143999998,0.5113863318,0.5382161089999997,0.5694006664000002,0.6089450728000001,0.6665801192000003
fcfp,0.14846082559999998,0.0723285176,0.13868460479999997,0.053028906059999985,0.06823315013999996,0.07974532270000005,0.0896116318,0.09851500403999999,0.10692676932000002,0.11493381572000008,0.12281780879999993,0.13066454839999989,0.13868460479999997,0.14688975780000008,0.15552576379999994,0.1646260764,0.17469777700000003,0.1859776196,0.19982103879999996,0.21541917879999992,0.23769240219999982,0.2748057992000001
ap,0.1974700592,0.11074322592,0.1841820582,0.041675497619999995,0.0643089655,0.08235840847999999,0.09845467897999999,0.11346540354,0.1279107252,0.1420517054,0.15604373919999998,0.17002953660000003,0.1841820582,0.19873415380000004,0.2138899832,0.22995954019999992,0.24734612199999997,0.26656205060000004,0.28851045080000004,0.3146485162,0.348187306,0.39881075059999993
rdkit,0.27787433240000003,0.1496816192,0.26136845200000003,0.06220673380000002,0.0959304447,0.12203293523999996,0.1448298138,0.1656917552,0.1853983404,0.20453897000000004,0.2233778736,0.24224076219999993,0.26136845200000003,0.2809890633999999,0.3013428816,0.32276593919999996,0.34565320360000007,0.37083042139999994,0.3995853184,0.43429573899999996,0.47950823499999984,0.5498633234
map4,0.019698346520000007,0.029943247339999996,0.0107421875,0.0,0.0,0.0,0.0009765625,0.0020703125,0.00390625,0.00498046875,0.0068359375,0.0087890625,0.0107421875,0.0130859375,0.015625,0.018574219240000012,0.022324219180000018,0.026347656740000024,0.03187499967999998,0.03882812512000001,0.04874999996,0.06714843609999994
mhfp,0.06018505552,0.04862412753999999,0.052421874839999986,0.0,0.00978515625,0.016386718359999993,0.022285156660000017,0.02773437479999999,0.033007812399999996,0.037929687920000024,0.042695312640000004,0.04755859339999998,0.052421874839999986,0.05748046918000003,0.06277343679999997,0.0685351567,0.07490234199999994,0.0819921876,0.09048827959999993,0.10103515750000006,0.11570312620000008,0.14113281119999993
pubchem,0.4117236759999999,0.16276392259999994,0.39595846700000004,0.16717289939999996,0.21279318679999995,0.24502862,0.27099974879999994,0.2939885658,0.3156498218,0.3364722026,0.35658023040000003,0.37623681180000007,0.39595846700000004,0.4164089434000002,0.43805313639999993,0.4613699762000001,0.4869496520000001,0.5155738493999997,0.5486669,0.5882207868,0.6379298938,0.7062793938000002
daylight,0.1934011418,0.11288612271999998,0.17086629979999995,0.059278493060000007,0.07555216247999998,0.08858034463999999,0.10030892258,0.11136215296,0.12246049634000004,0.13383072420000003,0.14570239360000004,0.158009037,0.17086629979999995,0.18436925260000003,0.19861240999999993,0.21380453459999996,0.23045358080000006,0.24922202899999998,0.27115384159999995,0.2985222032,0.33648223880000006,0.4040621275999999
kr,0.23357705339999996,0.1419330056,0.21000215580000003,0.04744814936,0.07060096066000003,0.08962365204000002,0.10743992643999999,0.12477605239999999,0.14156332020000006,0.1580626782,0.1748519990000001,0.1921296862,0.21000215580000003,0.22865339000000007,0.24824980740000005,0.26914370860000003,0.29187643180000006,0.31712904280000004,0.34641233339999983,0.3820673648,0.4296476952000001,0.5036312309999998
lingo,0.12675422779999995,0.08494151946,0.11380480168,0.017541572899999993,0.031770245040000006,0.043908099020000015,0.05474578369999999,0.06495057999999998,0.07481869199999999,0.08442956848,0.09414271682000001,0.10387465705999999,0.11380480168,0.12426807337999998,0.13482304660000002,0.14630364220000003,0.15880642399999997,0.17280352940000007,0.1890594748,0.20903123040000005,0.2358781584,0.27944990080000004
estate,0.49266252259999993,0.18173125580000002,0.5,0.18613636739999997,0.2520000016,0.3053846239999998,0.3333333399999997,0.3644138813999998,0.3997777779999999,0.4184711728000002,0.4511111231999997,0.4634871797999998,0.5,0.5,0.5384615699999994,0.5592063720000003,0.5835293799999998,0.6153846399999994,0.6420779063999997,0.6783012980000003,0.7272727500000002,0.7994285707999998
dfs,0.08514765876000001,0.0490270369,0.07689932735999999,0.025725326999999996,0.03501162092,0.04216969985999999,0.04820507572000001,0.05355320687999999,0.05846696828,0.06312410366000001,0.06765832387999998,0.07220924254,0.07689932735999999,0.08182994498,0.08712028597999998,0.09290607428,0.09938199094000001,0.10684484279999999,0.11577436234000008,0.12706795959999997,0.14265367240000004,0.16927461219999998
asp,0.07048556059999997,0.042975393779999996,0.06368670519999999,0.019886586580000004,0.027818384700000007,0.03375254191999999,0.03872086168,0.04315995498000001,0.04732889587999999,0.051374635319999994,0.055401306939999985,0.059485184280000006,0.06368670519999999,0.06808132191999998,0.07274319076,0.07777124888000002,0.08331512951999998,0.08956962314000001,0.09688838548000002,0.10594044058,0.11832408915999998,0.1395688556
lstar,0.050389441640000004,0.020790414999999993,0.04815871744000002,0.02618549979999999,0.030720874539999995,0.03384072491999999,0.03637375046,0.03859873369999998,0.04064125494000001,0.042568623400000005,0.04444069754000001,0.0462927048,0.04815871744000002,0.050071464799999986,0.05205522768000002,0.0541712597,0.056478509619999985,0.059062422159999996,0.06209141629999998,0.06584481886,0.07102013252,0.07996203538000003
rad2d,0.12545370519999996,0.059698065740000014,0.11795672600000001,0.046513398720000015,0.06080160004000001,0.07103764540000004,0.07936715040000002,0.08670173450000006,0.09340323966000001,0.09975579167999998,0.10578984085999998,0.11179740267999998,0.11795672600000001,0.12427165044,0.13080307499999996,0.13786734139999995,0.14560309759999998,0.15434747019999995,0.16472167399999993,0.17766097200000006,0.19552352780000004,0.22649005619999993
ph2,0.7479483242000002,0.27826484720000005,0.875,0.22804837380000006,0.37477272740000006,0.45843424419999984,0.5,0.5,0.5478364694000001,0.625,0.75,0.75,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ph3,0.5802623089999999,0.2978750624,0.6381133660000005,0.03615444890000001,0.1524302676,0.2320295538,0.27975605659999997,0.32154764620000004,0.37416506160000007,0.43626719920000007,0.49456713960000004,0.5728661806,0.6381133660000005,0.7102555636000001,0.7464099098000004,0.7837211834000003,0.8081799896000004,0.8300307574000001,0.8640836422000002,0.9148721972,0.9372551507999998,0.9833162504000004
